,geo_name,date,vessel_type,num_ships
0,Port Klang,2020-10-10,Cargo,1
1,Port Klang,2020-10-18,Cargo,4
2,Port Klang,2020-10-08,Cargo,4
3,Port Klang,2020-10-10,Tanker,1
4,Port Klang,2020-10-11,Cargo,1
5,Port Klang,2020-10-22,Cargo,5
6,Port Klang,2020-10-17,Tanker,5
7,Port Klang,2020-10-25,Cargo,4
8,Port Klang,2020-10-03,Tanker,2
9,Port Klang,2020-10-15,Cargo,2
10,Port Klang,2020-10-05,Cargo,3
11,Port Klang,2020-10-26,Tanker,2
12,Port Klang,2020-10-07,Cargo,3
13,Port Klang,2020-10-26,Cargo,3
14,Port Klang,2020-10-16,Tanker,2
15,Port Klang,2020-10-02,Tanker,1
16,Port Klang,2020-10-20,Cargo,3
17,Port Klang,2020-10-21,Cargo,3
18,Port Klang,2020-10-17,Cargo,5
19,Port Klang,2020-10-12,Cargo,2
20,Port Klang,2020-10-02,Cargo,2
21,Port Klang,2020-10-24,Tanker,4
22,Port Klang,2020-10-12,Tanker,1
23,Port Klang,2020-10-20,Tanker,2
24,Port Klang,2020-10-28,Cargo,1
25,Port Klang,2020-10-01,Cargo,4
26,Port Klang,2020-10-04,Cargo,1
27,Port Klang,2020-10-29,Tanker,1
28,Port Klang,2020-10-25,Tanker,1
29,Port Klang,2020-10-27,Cargo,2
30,Port Klang,2020-10-13,Tanker,2
31,Port Klang,2020-10-29,Cargo,3
32,Port Klang,2020-10-22,Tanker,2
33,Port Klang,2020-10-23,Tanker,1
34,Port Klang,2020-10-30,Cargo,1
35,Port Klang,2020-10-16,Cargo,6
36,Port Klang,2020-10-11,Tanker,2
37,Port Klang,2020-10-06,Cargo,2
38,Port Klang,2020-10-04,Tanker,1
39,Port Klang,2020-10-18,Tanker,5
40,Port Klang,2020-10-27,Tanker,1
41,Port Klang,2020-10-28,Tanker,3
42,Port Klang,2020-10-09,Cargo,1
43,Port Klang,2020-10-07,Tanker,4
44,Port Klang,2020-10-21,Tanker,2
45,Port Klang,2020-10-30,Tanker,4
46,Port Klang,2020-10-13,Cargo,6
47,Port Klang,2020-10-09,Tanker,2
48,Port Klang,2020-10-23,Cargo,4
49,Port Klang,2020-10-06,Tanker,2
50,Port Klang,2020-10-24,Cargo,3
