,geo_name,date,vessel_type,num_ships
0,Tanjung Pelepas Port,2020-01-27,Cargo,10
1,Tanjung Pelepas Port,2020-01-18,Tanker,1
2,Tanjung Pelepas Port,2020-01-29,Cargo,14
3,Tanjung Pelepas Port,2020-01-08,Cargo,8
4,Tanjung Pelepas Port,2020-01-07,Cargo,3
5,Tanjung Pelepas Port,2020-01-25,Tanker,3
6,Tanjung Pelepas Port,2020-01-24,Tanker,2
7,Tanjung Pelepas Port,2020-01-09,Tanker,3
8,Tanjung Pelepas Port,2020-01-07,Tanker,4
9,Tanjung Pelepas Port,2020-01-02,Tanker,4
10,Tanjung Pelepas Port,2020-01-09,Cargo,4
11,Tanjung Pelepas Port,2020-01-08,Tanker,2
12,Tanjung Pelepas Port,2020-01-14,Tanker,1
13,Tanjung Pelepas Port,2020-01-03,Cargo,4
14,Tanjung Pelepas Port,2020-01-23,Cargo,3
15,Tanjung Pelepas Port,2020-01-05,Cargo,4
16,Tanjung Pelepas Port,2020-01-20,Tanker,3
17,Tanjung Pelepas Port,2020-01-17,Tanker,2
18,Tanjung Pelepas Port,2020-01-23,Tanker,1
19,Tanjung Pelepas Port,2020-01-06,Cargo,4
20,Tanjung Pelepas Port,2020-01-04,Cargo,5
21,Tanjung Pelepas Port,2020-01-06,Tanker,4
22,Tanjung Pelepas Port,2020-01-10,Tanker,3
23,Tanjung Pelepas Port,2020-01-10,Cargo,4
24,Tanjung Pelepas Port,2020-01-22,Cargo,3
25,Tanjung Pelepas Port,2020-01-04,Tanker,2
26,Tanjung Pelepas Port,2020-01-01,Cargo,4
27,Tanjung Pelepas Port,2020-01-12,Tanker,4
28,Tanjung Pelepas Port,2020-01-03,Tanker,2
29,Tanjung Pelepas Port,2020-01-21,Cargo,4
30,Tanjung Pelepas Port,2020-01-22,Tanker,2
31,Tanjung Pelepas Port,2020-01-20,Cargo,8
32,Tanjung Pelepas Port,2020-01-30,Tanker,6
33,Tanjung Pelepas Port,2020-01-15,Cargo,3
34,Tanjung Pelepas Port,2020-01-13,Cargo,4
35,Tanjung Pelepas Port,2020-01-11,Cargo,3
36,Tanjung Pelepas Port,2020-01-28,Cargo,9
37,Tanjung Pelepas Port,2020-01-24,Cargo,5
38,Tanjung Pelepas Port,2020-01-17,Cargo,6
39,Tanjung Pelepas Port,2020-01-31,Tanker,10
40,Tanjung Pelepas Port,2020-01-31,Cargo,9
41,Tanjung Pelepas Port,2020-01-15,Tanker,2
42,Tanjung Pelepas Port,2020-01-28,Tanker,6
43,Tanjung Pelepas Port,2020-01-19,Tanker,3
44,Tanjung Pelepas Port,2020-01-02,Cargo,5
45,Tanjung Pelepas Port,2020-01-14,Cargo,3
46,Tanjung Pelepas Port,2020-01-21,Tanker,3
47,Tanjung Pelepas Port,2020-01-18,Cargo,7
48,Tanjung Pelepas Port,2020-01-01,Tanker,1
49,Tanjung Pelepas Port,2020-01-26,Tanker,7
50,Tanjung Pelepas Port,2020-01-26,Cargo,7
51,Tanjung Pelepas Port,2020-01-29,Tanker,8
52,Tanjung Pelepas Port,2020-01-12,Cargo,4
53,Tanjung Pelepas Port,2020-01-27,Tanker,15
54,Tanjung Pelepas Port,2020-01-30,Cargo,14
55,Tanjung Pelepas Port,2020-01-16,Tanker,2
56,Tanjung Pelepas Port,2020-01-16,Cargo,2
57,Tanjung Pelepas Port,2020-01-25,Cargo,6
58,Tanjung Pelepas Port,2020-01-13,Tanker,2
59,Tanjung Pelepas Port,2020-01-19,Cargo,4
