,Unnamed: 0,geo_name,date,vessel_type,num_ships
0,0,Port Klang,2020-01-31,Tanker,1
1,1,Port Klang,2020-01-18,Cargo,1
2,2,Port Klang,2020-01-20,Cargo,3
3,3,Port Klang,2020-01-30,Cargo,6
4,4,Port Klang,2020-01-27,Cargo,4
5,5,Port Klang,2020-01-06,Tanker,2
6,6,Port Klang,2020-01-12,Cargo,4
7,7,Port Klang,2020-01-13,Tanker,1
8,8,Port Klang,2020-01-07,Tanker,2
9,9,Port Klang,2020-01-01,Tanker,4
10,10,Port Klang,2020-01-25,Cargo,2
11,11,Port Klang,2020-01-17,Cargo,3
12,12,Port Klang,2020-01-10,Cargo,3
13,13,Port Klang,2020-01-19,Tanker,1
14,14,Port Klang,2020-01-16,Tanker,3
15,15,Port Klang,2020-01-07,Cargo,4
16,16,Port Klang,2020-01-22,Cargo,2
17,17,Port Klang,2020-01-23,Cargo,1
18,18,Port Klang,2020-01-08,Cargo,3
19,19,Port Klang,2020-01-08,Tanker,1
20,20,Port Klang,2020-01-03,Tanker,1
21,21,Port Klang,2020-01-11,Tanker,2
22,22,Port Klang,2020-01-17,Tanker,1
23,23,Port Klang,2020-01-30,Tanker,1
24,24,Port Klang,2020-01-16,Cargo,3
25,25,Port Klang,2020-01-26,Cargo,2
26,26,Port Klang,2020-01-04,Tanker,1
27,27,Port Klang,2020-01-02,Tanker,1
28,28,Port Klang,2020-01-11,Cargo,4
29,29,Port Klang,2020-01-15,Cargo,2
30,30,Port Klang,2020-01-29,Cargo,5
31,31,Port Klang,2020-01-05,Tanker,1
32,32,Port Klang,2020-01-12,Tanker,1
33,33,Port Klang,2020-01-18,Tanker,1
34,34,Port Klang,2020-01-24,Cargo,1
35,35,Port Klang,2020-01-26,Tanker,3
36,36,Port Klang,2020-01-24,Tanker,2
37,37,Port Klang,2020-01-06,Cargo,3
38,38,Port Klang,2020-01-13,Cargo,3
39,39,Port Klang,2020-01-28,Cargo,3
40,40,Port Klang,2020-01-22,Tanker,1
41,41,Port Klang,2020-01-10,Tanker,2
42,42,Port Klang,2020-01-23,Tanker,2
43,43,Port Klang,2020-01-09,Tanker,2
44,44,Port Klang,2020-01-20,Tanker,2
45,45,Port Klang,2020-01-19,Cargo,2
46,46,Port Klang,2020-01-25,Tanker,3
47,47,Port Klang,2020-01-28,Tanker,2
48,48,Port Klang,2020-01-29,Tanker,3
49,49,Port Klang,2020-01-03,Cargo,3
50,50,Port Klang,2020-01-02,Cargo,2
51,51,Port Klang,2020-01-21,Cargo,2
52,52,Port Klang,2020-01-27,Tanker,3
53,53,Port Klang,2020-01-21,Tanker,4
54,54,Port Klang,2020-01-15,Tanker,1
0,0,Port Klang,2020-02-24,Tanker,2
1,1,Port Klang,2020-02-27,Tanker,3
2,2,Port Klang,2020-02-02,Cargo,4
3,3,Port Klang,2020-02-16,Tanker,1
4,4,Port Klang,2020-02-04,Tanker,1
5,5,Port Klang,2020-02-12,Cargo,5
6,6,Port Klang,2020-02-26,Cargo,3
7,7,Port Klang,2020-02-23,Tanker,2
8,8,Port Klang,2020-02-08,Cargo,3
9,9,Port Klang,2020-02-28,Cargo,1
10,10,Port Klang,2020-02-25,Tanker,1
11,11,Port Klang,2020-02-26,Tanker,1
12,12,Port Klang,2020-02-04,Cargo,1
13,13,Port Klang,2020-02-11,Cargo,2
14,14,Port Klang,2020-02-07,Cargo,1
15,15,Port Klang,2020-02-21,Cargo,1
16,16,Port Klang,2020-02-19,Tanker,5
17,17,Port Klang,2020-02-12,Tanker,1
18,18,Port Klang,2020-02-21,Tanker,2
19,19,Port Klang,2020-02-05,Cargo,1
20,20,Port Klang,2020-02-24,Cargo,1
21,21,Port Klang,2020-02-20,Tanker,3
22,22,Port Klang,2020-02-13,Tanker,1
23,23,Port Klang,2020-02-11,Tanker,4
24,24,Port Klang,2020-02-29,Tanker,3
25,25,Port Klang,2020-02-15,Cargo,4
26,26,Port Klang,2020-02-14,Cargo,2
27,27,Port Klang,2020-02-10,Tanker,1
28,28,Port Klang,2020-02-27,Cargo,2
29,29,Port Klang,2020-02-09,Tanker,1
30,30,Port Klang,2020-02-25,Cargo,3
31,31,Port Klang,2020-02-23,Cargo,5
32,32,Port Klang,2020-02-07,Tanker,2
33,33,Port Klang,2020-02-13,Cargo,2
34,34,Port Klang,2020-02-06,Cargo,1
35,35,Port Klang,2020-02-10,Cargo,4
36,36,Port Klang,2020-02-02,Tanker,1
37,37,Port Klang,2020-02-18,Tanker,2
38,38,Port Klang,2020-02-06,Tanker,2
39,39,Port Klang,2020-02-16,Cargo,2
40,40,Port Klang,2020-02-18,Cargo,6
41,41,Port Klang,2020-02-22,Cargo,3
42,42,Port Klang,2020-02-19,Cargo,1
43,43,Port Klang,2020-02-08,Tanker,2
44,44,Port Klang,2020-02-09,Cargo,2
45,45,Port Klang,2020-02-01,Tanker,1
46,46,Port Klang,2020-02-20,Cargo,1
0,0,Port Klang,2020-03-18,Tanker,1
1,1,Port Klang,2020-03-29,Cargo,1
2,2,Port Klang,2020-03-12,Tanker,1
3,3,Port Klang,2020-03-14,Tanker,1
4,4,Port Klang,2020-03-14,Cargo,2
5,5,Port Klang,2020-03-01,Cargo,1
6,6,Port Klang,2020-03-06,Tanker,1
7,7,Port Klang,2020-03-03,Tanker,3
8,8,Port Klang,2020-03-26,Tanker,1
9,9,Port Klang,2020-03-20,Tanker,4
10,10,Port Klang,2020-03-06,Cargo,3
11,11,Port Klang,2020-03-16,Tanker,1
12,12,Port Klang,2020-03-19,Cargo,2
13,13,Port Klang,2020-03-13,Cargo,4
14,14,Port Klang,2020-03-09,Tanker,1
15,15,Port Klang,2020-03-16,Cargo,2
16,16,Port Klang,2020-03-28,Tanker,4
17,17,Port Klang,2020-03-30,Cargo,1
18,18,Port Klang,2020-03-09,Cargo,5
19,19,Port Klang,2020-03-05,Tanker,1
20,20,Port Klang,2020-03-21,Cargo,2
21,21,Port Klang,2020-03-08,Cargo,1
22,22,Port Klang,2020-03-04,Cargo,4
23,23,Port Klang,2020-03-18,Cargo,5
24,24,Port Klang,2020-03-24,Tanker,1
25,25,Port Klang,2020-03-22,Cargo,1
26,26,Port Klang,2020-03-07,Tanker,2
27,27,Port Klang,2020-03-27,Tanker,1
28,28,Port Klang,2020-03-30,Tanker,1
29,29,Port Klang,2020-03-29,Tanker,2
30,30,Port Klang,2020-03-28,Cargo,3
31,31,Port Klang,2020-03-02,Cargo,5
32,32,Port Klang,2020-03-05,Cargo,3
33,33,Port Klang,2020-03-31,Cargo,3
34,34,Port Klang,2020-03-03,Cargo,2
35,35,Port Klang,2020-03-27,Cargo,1
36,36,Port Klang,2020-03-13,Tanker,2
37,37,Port Klang,2020-03-04,Tanker,3
38,38,Port Klang,2020-03-24,Cargo,1
39,39,Port Klang,2020-03-20,Cargo,1
40,40,Port Klang,2020-03-17,Cargo,1
41,41,Port Klang,2020-03-07,Cargo,3
42,42,Port Klang,2020-03-11,Cargo,4
43,43,Port Klang,2020-03-10,Cargo,1
0,0,Port Klang,2020-04-01,Cargo,3
1,1,Port Klang,2020-04-04,Cargo,1
2,2,Port Klang,2020-04-07,Cargo,1
3,3,Port Klang,2020-04-07,Tanker,1
4,4,Port Klang,2020-04-04,Tanker,1
5,5,Port Klang,2020-04-19,Cargo,1
6,6,Port Klang,2020-04-08,Tanker,1
7,7,Port Klang,2020-04-27,Tanker,1
8,8,Port Klang,2020-04-11,Tanker,1
9,9,Port Klang,2020-04-26,Tanker,1
10,10,Port Klang,2020-04-27,Cargo,1
11,11,Port Klang,2020-04-20,Cargo,1
12,12,Port Klang,2020-04-13,Tanker,1
